total (education),geoid,noSchool,elementary,middleSchool,highSchool,associates,bachelors,masters,professional,doctorate
2772,25009201100,0,19,64,923,180,889,364,173,160
1543,25009202101,16,3,29,332,192,483,358,97,33
4796,25009202102,12,51,50,1976,466,1265,676,171,129
4370,25009202200,19,0,98,1162,167,1417,944,313,250
4912,25009203100,14,18,35,898,308,2089,1011,374,165
3223,25009203200,0,10,24,765,149,1218,738,238,81
2988,25009203301,7,0,71,887,175,969,680,122,77
3592,25009203302,0,0,30,745,88,1527,865,217,120
2969,25009204101,20,77,54,1359,234,873,239,40,73
3229,25009204102,19,60,82,1405,235,831,439,122,36
3511,25009204200,43,129,164,1251,163,988,618,16,139
2921,25009204300,88,334,235,1032,223,605,296,44,64
2806,25009204400,58,35,65,1140,103,805,472,71,57
2600,25009204500,6,0,97,889,155,732,557,117,47
3838,25009204600,2,133,203,1797,235,798,425,184,61
4127,25009204701,81,75,225,1852,200,1059,459,39,137
4530,25009204702,42,149,199,2152,296,1134,537,1,20
3534,25009205100,63,292,157,1909,286,447,320,60,0
3650,25009205200,30,382,350,1711,370,509,187,47,64
2725,25009205300,1,90,129,1422,200,608,255,11,9
3472,25009205400,47,22,107,1712,415,724,331,27,87
3242,25009205500,115,526,353,1585,248,287,108,7,13
2185,25009205600,73,102,177,1140,261,310,95,27,0
3456,25009205700,76,200,217,1818,273,745,110,17,0
2056,25009205800,119,227,142,1162,178,168,60,0,0
2737,25009205900,18,317,232,1490,144,464,72,0,0
2092,25009206000,302,329,138,970,136,156,45,16,0
2588,25009206100,140,562,247,1247,110,202,73,7,0
3479,25009206200,220,703,507,1450,249,291,59,0,0
2864,25009206300,160,271,390,1330,218,400,41,34,20
3671,25009206400,138,149,425,1881,331,527,177,10,33
2090,25009206500,137,459,91,1010,103,161,110,19,0
3434,25009206600,178,208,347,1683,356,364,205,67,26
2772,25009206700,70,144,188,1467,248,423,168,36,28
2659,25009206800,170,582,378,1145,127,187,56,14,0
3216,25009206900,81,197,274,1649,300,523,147,14,31
1421,25009207000,127,354,130,567,119,75,13,36,0
2290,25009207100,394,361,181,923,264,167,0,0,0
1554,25009207200,98,67,88,1006,81,156,38,14,6
3519,25009208101,10,46,277,2040,251,695,138,55,7
2418,25009208102,27,127,92,1386,179,433,133,8,33
4165,25009208200,97,22,164,2379,362,810,270,42,19
5972,25009208300,79,150,181,3375,439,1090,417,139,102
5026,25009208400,129,134,185,2403,493,1023,505,70,84
4423,25009209100,64,0,94,1539,440,1295,758,156,77
4267,25009209200,64,7,57,1307,333,1341,830,178,150
4936,25009210100,98,88,71,1940,479,1590,555,101,14
4033,25009210200,23,21,140,2035,516,820,403,69,6
7462,25009210300,19,263,305,3156,570,1795,1132,113,109
5247,25009210400,58,97,280,2478,635,991,468,161,79
4842,25009210500,155,48,141,2168,532,1230,483,18,67
3193,25009210600,152,160,111,1502,256,744,177,34,57
2985,25009210700,71,254,312,1557,167,521,93,10,0
3464,25009210800,77,207,297,1931,275,431,184,35,27
3234,25009210900,109,228,111,1671,222,621,189,12,71
3071,25009211100,18,45,162,1316,389,775,312,34,20
4739,25009211200,18,33,201,1994,549,1289,444,105,106
4675,25009211300,0,50,202,1744,409,1288,841,70,71
3200,25009211401,33,69,218,1322,435,658,326,98,41
4563,25009211402,25,43,166,1546,506,1204,800,137,136
7066,25009212100,12,171,426,3101,581,1909,581,180,105
5615,25009213100,0,0,104,1184,501,2032,1208,363,223
4656,25009214100,13,51,66,1288,241,1310,1296,197,194
3296,25009215101,0,9,33,554,274,1236,939,142,109
2052,25009215102,0,18,36,628,90,712,282,183,103
2703,25009216100,1,24,11,678,161,1132,541,105,50
5475,25009217100,3,28,172,1847,714,1684,723,188,116
2986,25009217201,62,33,26,911,358,1040,380,104,72
2569,25009217202,0,42,127,790,263,803,493,36,15
3286,25009217300,48,31,193,1394,289,793,394,61,83
4420,25009217400,58,71,104,2160,390,1029,523,27,58
4431,25009217500,15,22,69,1446,253,1214,943,223,246
5516,25009217600,51,127,109,1598,363,2041,956,119,152
3842,25009218100,0,0,64,871,188,1369,977,169,204
3426,25009220101,0,8,35,963,279,1264,644,164,69
2426,25009220102,10,10,94,918,207,741,350,33,63
3313,25009221100,38,64,65,1166,351,933,536,99,61
3924,25009221300,13,27,117,1365,330,1226,499,220,127
2452,25009221400,63,126,168,1012,256,512,225,0,90
2500,25009221500,47,96,190,1339,230,378,180,31,9
1840,25009221600,10,90,37,985,211,348,149,5,5
2037,25009221700,15,95,99,890,251,343,256,22,66
1546,25009221800,8,66,35,627,102,473,188,25,22
2745,25009221901,30,9,59,1084,346,664,352,112,89
2818,25009221902,4,35,142,1381,249,651,232,100,24
2673,25009222100,22,0,30,879,184,872,477,114,95
3216,25009223100,37,7,26,1176,254,914,573,186,43
2831,25009223200,14,24,123,1007,247,832,448,81,55
4026,25009223300,0,0,15,1212,481,1285,698,249,86
1968,25009250100,171,359,196,837,83,214,73,35,0
3586,25009250200,116,436,452,2003,107,423,40,0,9
1214,25009250300,92,167,243,570,57,48,0,26,11
2549,25009250400,118,638,531,1170,59,13,0,20,0
2236,25009250500,69,492,400,1127,26,60,21,22,19
3130,25009250600,122,397,395,1797,139,174,94,12,0
3131,25009250700,141,640,553,1552,35,152,58,0,0
5134,25009250800,79,564,744,3102,296,313,36,0,0
1256,25009250900,62,319,151,552,80,59,15,14,4
1169,25009251000,20,191,289,551,39,65,6,0,8
2101,25009251100,80,495,161,1039,75,189,62,0,0
873,25009251200,47,263,89,411,19,37,7,0,0
2051,25009251300,114,642,402,712,47,88,31,15,0
3214,25009251400,192,412,357,1737,136,278,93,9,0
3354,25009251500,74,167,525,1943,252,261,103,19,10
3892,25009251600,69,656,477,2099,99,387,44,44,17
3641,25009251700,113,413,370,1864,241,474,128,14,24
5151,25009251800,237,432,435,2476,562,434,380,164,31
2597,25009252101,48,123,211,1407,239,392,117,53,7
2936,25009252102,20,35,64,974,545,678,517,55,48
2364,25009252201,67,16,207,1204,181,409,237,18,25
2392,25009252202,41,35,47,1236,189,549,257,19,19
5347,25009252300,118,591,341,3132,387,489,248,27,14
2744,25009252400,144,276,250,1403,259,300,111,1,0
2779,25009252501,67,149,198,1594,150,339,259,11,12
3348,25009252502,16,95,181,1665,372,667,252,67,33
4959,25009252601,77,172,175,2307,569,1054,579,4,22
3195,25009252602,69,9,84,1452,437,723,312,70,39
2089,25009252603,46,55,51,967,223,465,268,2,12
3826,25009253100,18,36,83,1731,336,1100,476,36,10
2172,25009253201,64,11,24,733,215,635,328,108,54
4283,25009253202,33,65,212,1172,452,1534,661,100,54
2982,25009253203,10,19,43,638,165,1158,646,181,122
4182,25009253204,54,42,115,805,292,1434,1141,153,146
2704,25009253205,0,0,0,476,274,1100,696,96,62
4608,25009254100,5,17,22,937,357,1671,1134,284,181
3046,25009254200,4,31,78,576,149,1103,857,125,123
2844,25009254301,12,28,63,497,139,873,757,257,218
3401,25009254302,61,0,33,510,185,1075,1049,277,211
2512,25009254401,14,0,20,503,164,832,607,161,211
5000,25009254402,90,6,73,682,193,1927,1379,274,376
2732,25009254403,39,31,48,470,120,944,715,236,129
3933,25009260100,51,265,260,2169,391,655,83,0,59
2382,25009260200,38,110,338,1175,193,400,98,17,13
3310,25009260301,47,104,157,1635,316,670,351,9,21
2069,25009260302,4,55,39,894,262,533,188,80,14
2877,25009260401,0,32,62,1560,385,558,207,7,66
4624,25009260402,0,129,151,1996,313,1296,674,25,40
2702,25009260500,5,44,77,1480,322,453,259,52,10
2532,25009260600,5,169,196,1444,176,379,103,54,6
3269,25009260700,7,70,280,1883,346,483,157,43,0
3120,25009260800,74,119,362,1758,289,404,88,3,23
3302,25009260900,16,132,145,1733,227,762,153,103,31
2649,25009261000,13,38,253,1284,409,521,115,14,2
3126,25009261101,11,1,59,1165,426,852,508,47,57
3540,25009261102,0,14,63,1906,373,826,311,47,0
4875,25009262100,39,32,207,2082,387,1407,628,78,15
3304,25009263100,11,10,55,860,308,1206,555,231,68
4577,25009264100,19,10,125,1812,380,1377,675,140,39
2695,25009265101,13,2,71,1116,160,815,432,69,17
3497,25009265102,8,0,39,1155,320,1274,562,106,33
3146,25009266100,2,7,93,1037,390,1067,384,67,99
3816,25009266200,16,50,238,1774,423,737,508,14,56
3002,25009266300,30,31,189,1504,184,652,353,34,25
2669,25009266400,5,0,71,1152,241,778,363,31,28
2976,25009267101,0,36,108,1332,210,832,425,7,26
4194,25009267102,52,143,219,2094,412,895,337,24,18
1857,25009268100,12,0,17,549,119,688,388,72,12
4857,25009268200,3,37,55,1619,370,1573,1017,38,145
3200,25009268300,58,42,76,751,189,906,911,155,112
3560,25009268400,2,2,115,770,274,1480,647,117,153
5077,25009269100,0,34,152,1739,458,1802,670,132,90
4499,25009270100,25,0,124,1932,417,1207,694,67,33
0,25009990100,0,0,0,0,0,0,0,0,0
2380,25017300100,11,34,119,1148,277,514,240,21,16
2919,25017301101,10,31,138,1441,325,608,328,30,8
3775,25017301102,7,0,142,1880,422,849,402,31,42
4102,25017310100,65,226,375,1691,168,911,457,62,147
4234,25017310200,94,336,213,2514,398,352,304,23,0
4108,25017310300,170,123,280,2730,204,436,130,0,35
1882,25017310400,97,116,133,1183,120,171,56,0,6
2009,25017310500,36,0,181,1217,123,304,148,0,0
4285,25017310601,132,324,194,2155,467,533,417,42,21
3627,25017310602,146,45,296,2018,272,505,276,69,0
2538,25017310700,90,48,251,1404,166,377,164,38,0
1577,25017311100,112,144,188,717,108,228,65,0,15
1805,25017311200,88,146,198,962,49,283,58,21,0
2804,25017311300,130,201,203,1561,120,316,189,58,26
4289,25017311400,231,146,320,1705,260,857,651,70,49
2011,25017311500,155,67,51,950,159,252,348,12,17
3837,25017311600,418,42,198,1906,202,654,339,57,21
3427,25017311700,452,274,299,1669,225,308,160,40,0
2220,25017311800,312,49,280,1120,133,276,49,0,1
1922,25017311900,92,181,310,1053,99,112,59,0,16
1748,25017312000,146,159,199,998,74,130,38,0,4
2159,25017312100,41,187,200,1329,73,276,40,0,13
3355,25017312200,219,73,90,1971,302,495,92,84,29
4011,25017312300,113,113,140,2085,173,915,450,8,14
1527,25017312400,112,198,144,726,83,171,67,0,26
3200,25017312501,121,83,165,1345,185,618,507,137,39
2950,25017312502,64,77,131,1253,207,563,497,69,89
4549,25017313101,6,20,103,1523,319,1675,811,22,70
4139,25017313102,90,36,78,1808,473,1056,454,17,127
4784,25017314101,141,68,376,2529,416,762,309,117,66
5631,25017314102,42,177,164,3078,532,1168,363,71,36
3359,25017314200,25,40,239,1541,481,483,421,39,90
5910,25017314301,63,67,379,2822,486,1410,510,77,96
2195,25017314302,10,53,66,1002,285,552,193,14,20
4019,25017315100,53,121,184,1571,469,1079,414,73,55
6382,25017315200,21,51,145,2881,594,1591,832,162,105
3102,25017315401,59,9,107,1610,195,743,325,18,36
2305,25017315402,8,0,81,1067,255,532,304,25,33
1276,25017315403,18,0,39,766,90,207,141,8,7
5629,25017315500,43,24,143,2832,580,1343,537,33,94
3713,25017316101,21,58,130,1825,416,981,264,9,9
4703,25017316102,29,28,242,2361,343,1037,504,118,41
3225,25017316201,23,30,87,1809,308,660,248,43,17
3116,25017316202,11,69,256,1381,294,665,366,30,44
6529,25017316300,120,69,237,2763,464,1912,888,33,43
5373,25017316400,7,63,282,2942,348,1186,358,96,91
4524,25017316500,19,54,303,2186,347,951,551,18,95
4991,25017317101,19,63,69,1551,302,1679,950,157,201
3237,25017317102,31,30,41,1129,232,1060,574,65,75
3402,25017317103,10,19,73,934,294,1119,791,31,131
2086,25017317201,0,9,22,432,164,830,492,25,112
2468,25017317202,0,0,15,637,191,1028,430,96,71
2971,25017317203,22,17,85,1092,251,831,527,81,65
1970,25017317301,3,61,53,701,113,556,422,4,57
4234,25017317302,40,43,139,1758,392,866,685,148,163
4572,25017318100,0,16,51,1310,319,1461,1238,28,149
3320,25017318200,10,52,45,961,283,907,880,77,105
5395,25017318300,99,11,21,954,343,2011,1540,183,233
2972,25017318400,14,42,37,623,111,1132,845,76,92
3714,25017320102,32,46,9,902,155,1197,976,205,192
2037,25017320103,0,0,60,287,112,787,544,89,158
6400,25017320104,54,51,140,1200,369,2547,1435,321,283
4902,25017321100,0,136,41,2210,374,1096,815,115,115
4689,25017321200,78,112,202,2441,218,1065,414,75,84
5851,25017321300,96,422,207,2813,455,898,777,125,58
2701,25017321400,7,9,127,946,234,779,419,91,89
4650,25017321500,88,245,214,2035,470,879,536,54,129
5602,25017321600,78,37,186,2238,591,1587,704,128,53
3440,25017322100,9,11,115,1123,269,1258,492,109,54
3164,25017322200,23,114,68,1153,230,874,568,53,81
4507,25017322300,103,92,180,1918,476,973,656,77,32
3451,25017322400,113,146,215,1625,120,768,319,81,64
4750,25017323100,22,0,28,929,274,1779,1253,174,291
4048,25017324101,4,5,92,1356,376,1163,827,92,133
3092,25017324102,16,48,16,1072,159,897,614,49,221
6057,25017325100,0,93,232,2255,529,1548,1025,208,167
3033,25017326101,9,58,98,848,187,1037,578,152,66
4809,25017326102,27,21,21,1345,193,2057,848,199,98
2675,25017327101,2,13,72,893,336,859,377,87,36
3172,25017327102,10,9,104,1716,330,636,289,44,34
2671,25017327103,0,0,151,1104,273,656,352,51,84
2297,25017328100,13,0,46,698,281,784,372,42,61
6051,25017330100,3,47,129,1935,664,1881,1081,129,182
4927,25017330200,20,27,164,1932,461,1371,784,33,135
2357,25017331101,11,0,104,979,190,631,323,39,80
5072,25017331102,21,29,47,2143,413,1401,806,165,47
3802,25017331200,85,0,84,1625,395,865,574,45,129
5155,25017331300,110,53,224,2329,421,1370,549,42,57
4693,25017332100,39,47,100,1783,405,1357,689,86,187
6735,25017332200,85,191,137,1735,361,2401,1432,197,196
5400,25017332300,55,32,48,2006,382,1707,915,115,140
3015,25017332400,0,44,70,823,218,1016,560,71,213
6029,25017333100,110,15,223,2440,336,1860,851,143,51
3915,25017333200,0,34,42,1602,246,1260,589,100,42
2722,25017333300,84,37,109,1280,144,559,406,20,83
4507,25017333400,56,127,142,1799,496,1227,486,42,132
4117,25017333501,75,68,38,1730,324,1175,543,85,79
2354,25017333502,17,66,47,1106,169,611,283,37,18
5611,25017333600,49,14,324,1971,661,1388,1103,20,81
4747,25017334100,22,21,112,1247,166,1654,1055,203,267
2934,25017334200,10,10,39,948,342,680,646,148,111
5174,25017334300,1,42,23,1248,297,1986,1228,172,177
4973,25017334400,10,67,87,1323,326,1652,1061,176,271
4537,25017335100,46,0,125,1509,371,1438,680,107,261
4540,25017335200,27,34,101,1447,462,1442,666,224,137
3418,25017335301,6,187,178,1147,430,778,528,103,61
3743,25017335302,53,36,21,1453,341,1161,566,73,39
3862,25017335400,66,42,176,1283,266,1159,591,103,176
4054,25017336100,50,31,157,936,206,1235,1217,52,170
4144,25017336200,9,0,114,975,185,1447,965,300,149
4551,25017336300,0,69,34,1530,274,1330,863,253,198
4004,25017336401,34,74,49,1013,508,956,924,240,206
3569,25017336402,36,27,150,1094,241,1179,636,107,99
2294,25017337101,0,17,105,759,263,733,330,40,47
4075,25017337102,71,40,73,1834,336,993,591,42,95
2551,25017337201,0,0,45,1021,250,611,454,61,109
4067,25017337202,124,60,115,1762,254,1039,517,101,95
4688,25017337300,14,0,155,1866,322,1598,525,107,101
2016,25017338100,0,15,20,504,99,537,510,170,161
2898,25017338200,26,40,9,864,173,696,738,82,270
2308,25017338300,9,8,32,337,58,692,740,252,180
4215,25017338400,31,0,18,531,96,1479,1195,457,408
3679,25017338500,0,8,0,425,132,1314,1146,439,215
5085,25017339100,56,209,243,1579,390,1188,926,340,154
4531,25017339200,1,90,83,1120,281,1379,1101,151,325
1986,25017339300,7,33,48,771,66,511,429,74,47
2369,25017339400,18,60,44,655,66,844,478,87,117
2789,25017339500,12,12,167,835,194,795,600,64,110
3745,25017339600,29,164,211,1003,169,917,1019,44,189
2655,25017339700,87,55,135,1069,174,579,478,28,50
3882,25017339801,40,45,119,1177,247,1015,704,249,286
3977,25017339802,101,25,182,1413,280,974,595,136,271
3821,25017339900,49,50,128,1412,169,1235,468,132,178
1819,25017340000,17,11,72,643,125,557,258,27,109
4772,25017340100,34,5,313,2179,168,1041,838,63,131
2842,25017341101,76,87,77,924,182,881,415,107,93
3482,25017341102,72,80,154,1024,214,1043,475,169,251
5083,25017341200,169,568,325,2212,310,1020,405,49,25
4030,25017341300,135,57,240,1616,126,909,808,95,44
4545,25017341400,107,296,291,2310,102,1257,154,15,13
3419,25017341500,131,340,141,1650,168,610,293,67,19
4483,25017341600,203,220,118,1533,455,1088,577,134,155
3687,25017341700,33,76,187,1707,202,918,388,60,116
4524,25017341800,132,332,283,2493,249,642,323,15,55
941,25017341901,8,17,0,625,65,116,84,14,12
6433,25017341902,199,255,160,2266,509,1578,1134,194,138
3407,25017342101,80,220,260,2058,209,329,200,37,14
2675,25017342102,173,114,230,1639,118,230,99,45,27
3542,25017342201,136,338,265,2047,214,390,105,37,10
2646,25017342202,156,140,152,1387,265,325,170,22,29
5395,25017342300,190,421,412,2557,320,1075,348,56,16
4766,25017342400,140,243,498,2596,100,725,321,45,98
5809,25017342500,189,511,171,3314,536,694,351,16,27
3319,25017342600,59,204,446,1886,252,304,146,11,11
1745,25017350103,34,15,45,507,74,677,199,108,86
5439,25017350104,77,228,480,2458,231,1236,495,104,130
5279,25017350200,50,179,334,1855,301,1364,953,127,116
2286,25017350300,35,9,21,483,98,786,622,94,138
4277,25017350400,24,45,73,557,169,1620,1301,128,360
1242,25017350500,7,33,3,229,30,448,358,59,75
2007,25017350600,10,9,23,408,68,726,452,158,153
4304,25017350700,55,233,470,1233,83,1183,653,171,223
1723,25017350800,8,25,16,237,40,649,531,86,131
2865,25017350900,0,7,22,381,58,1276,729,162,230
5243,25017351000,12,70,39,577,73,2351,1400,297,424
4385,25017351100,139,148,95,711,98,1546,1084,214,350
3752,25017351203,16,102,121,558,81,1482,941,118,333
3822,25017351204,37,7,123,440,97,1339,1156,219,404
3370,25017351300,43,129,141,1073,41,1033,600,112,198
3445,25017351403,158,421,277,845,90,981,483,75,115
2825,25017351404,257,142,278,815,174,689,337,36,97
1881,25017351500,20,107,160,396,110,598,368,48,74
1946,25017352101,20,0,8,106,38,595,613,215,351
2097,25017352102,0,10,20,259,23,584,583,91,527
1447,25017352200,22,90,40,496,46,388,206,63,96
3790,25017352300,24,78,115,438,106,1202,1026,300,501
1303,25017352400,0,72,72,473,52,310,205,55,64
2204,25017352500,30,4,13,466,31,708,470,212,270
1731,25017352600,0,151,51,346,58,518,412,28,167
1605,25017352700,24,108,87,425,89,413,336,5,118
1788,25017352800,9,27,28,319,70,655,409,102,169
2254,25017352900,3,16,51,219,37,504,684,234,506
2990,25017353000,37,63,134,399,25,908,758,170,496
1756,25017353101,17,0,41,261,55,541,486,187,168
1253,25017353102,0,0,0,148,8,501,496,11,89
3487,25017353200,31,81,113,595,58,959,1095,161,394
3372,25017353300,18,10,43,354,36,971,955,294,691
2395,25017353400,12,70,207,463,82,694,595,95,177
2164,25017353500,0,33,91,427,56,630,489,155,283
2594,25017353600,16,0,11,243,33,790,912,178,411
2839,25017353700,0,29,83,221,59,811,996,156,484
3920,25017353800,50,8,56,321,18,1298,1123,394,652
2301,25017353900,48,38,19,144,11,591,757,203,490
2819,25017354000,0,0,7,110,23,970,782,339,588
2214,25017354100,0,0,19,74,7,686,779,262,387
2327,25017354200,9,0,2,142,23,548,726,361,516
2608,25017354300,40,16,81,490,81,765,770,84,281
1358,25017354400,7,0,6,129,26,373,487,126,204
2119,25017354500,18,0,22,157,51,476,757,255,383
4414,25017354600,0,19,141,886,40,1157,1169,347,655
2049,25017354700,23,0,0,201,51,507,738,232,297
1810,25017354800,0,5,5,268,55,550,507,93,327
5733,25017354900,97,189,193,1474,111,1475,1399,315,480
2553,25017355000,6,28,71,495,68,739,824,118,204
2430,25017356100,17,48,78,457,27,873,641,92,197
4076,25017356300,28,56,70,972,146,1149,1162,215,278
5504,25017356400,49,34,58,1289,221,1581,1480,263,529
5276,25017356500,1,154,127,1303,196,1610,1191,347,347
3298,25017356601,31,17,48,825,193,881,841,226,236
3057,25017356602,0,9,59,633,59,843,933,262,259
4571,25017356701,35,2,65,893,107,1285,1615,138,431
5148,25017356702,50,63,19,896,386,1739,1335,244,416
3034,25017357100,22,34,51,283,154,615,1178,211,486
2206,25017357200,14,17,0,340,69,511,776,221,258
2243,25017357300,13,0,76,301,123,673,609,217,231
1654,25017357400,0,0,11,185,50,493,488,155,272
1544,25017357500,0,6,6,292,56,404,500,150,130
1817,25017357600,33,0,21,338,129,454,486,199,157
2987,25017357700,37,55,87,811,107,732,574,158,426
2569,25017357800,22,0,44,545,111,535,708,385,219
3810,25017358100,0,10,66,528,83,979,1252,367,525
4154,25017358300,0,28,37,400,88,1006,1555,378,662
3486,25017358400,6,18,43,330,85,1120,1135,314,435
3683,25017358500,0,30,40,446,112,983,1332,406,334
4062,25017358600,0,19,28,536,162,1123,1227,378,589
3592,25017358700,13,0,30,310,36,1047,1269,320,567
4614,25017359100,34,29,139,855,226,1535,1383,221,192
5013,25017359300,10,20,79,1009,314,1626,1338,265,352
984,25017360100,0,0,2,326,98,261,285,6,6
3663,25017360200,0,1,38,556,150,998,946,427,547
4135,25017361100,0,9,46,661,282,1096,1553,236,252
5188,25017361200,4,85,294,1311,131,1423,1252,330,358
4264,25017361300,3,50,75,480,73,1311,1677,288,307
3699,25017362100,13,0,36,463,146,1211,1050,369,411
4798,25017363102,41,141,27,960,408,1401,1330,190,300
2443,25017363103,26,21,8,405,130,766,781,103,203
4361,25017363104,7,54,34,476,180,1371,1479,276,484
2114,25017363201,0,33,61,345,71,622,767,93,122
2605,25017363202,0,39,73,455,103,952,771,98,114
4043,25017364101,22,28,108,1696,282,927,706,54,220
3772,25017364102,21,88,3,1270,301,1178,763,67,81
5145,25017365100,0,16,30,905,134,1895,1307,359,499
4261,25017365201,9,24,29,433,163,1651,1259,383,310
3159,25017365202,16,2,12,621,59,1106,848,249,246
3235,25017366100,26,20,74,651,110,1089,803,190,272
2393,25017366201,0,0,0,199,36,852,708,352,246
3704,25017366202,12,12,37,538,83,1313,1077,370,262
3041,25017367100,5,5,36,397,66,812,1008,345,367
4714,25017367200,0,13,19,725,69,1764,1090,564,470
4964,25017368101,81,54,114,1249,405,1686,970,174,231
2954,25017368102,24,37,128,1269,217,667,419,88,105
3283,25017368200,5,72,24,961,334,983,692,69,143
3879,25017368300,100,69,183,1310,263,989,911,34,20
4022,25017368400,23,161,114,916,78,1628,734,135,233
2254,25017368500,62,86,193,652,83,595,420,52,111
4060,25017368600,75,189,177,1176,220,1225,832,76,90
1905,25017368700,129,22,194,634,71,452,309,23,71
4124,25017368800,240,90,198,1324,152,1198,720,137,65
3755,25017368901,0,12,64,1273,367,1190,676,51,122
2579,25017368902,0,86,86,932,130,574,652,73,46
1194,25017369000,18,11,51,495,79,268,200,35,37
3851,25017369100,15,64,174,1330,252,1156,639,106,115
5432,25017370101,107,96,258,1670,296,1292,1172,239,302
7213,25017370102,50,51,158,1676,390,2527,1506,418,437
2975,25017370201,20,26,8,434,127,1082,816,223,239
3259,25017370202,23,82,40,775,186,1229,565,163,196
4745,25017370300,18,125,84,1065,255,1390,1452,136,220
4221,25017370400,54,51,129,953,279,1472,849,294,140
3866,25017373100,1,82,29,562,200,1432,940,314,306
3550,25017373200,7,208,86,1080,148,1088,640,109,184
2185,25017373300,26,45,30,414,70,642,581,111,266
2393,25017373400,18,0,0,255,40,814,897,144,225
3598,25017373500,0,0,26,385,93,1037,1059,550,448
2007,25017373600,0,0,22,219,70,629,527,252,288
2652,25017373700,0,0,0,163,52,714,804,488,431
4265,25017373800,13,0,2,324,50,1237,1349,736,554
4648,25017373900,23,74,0,540,247,1525,1047,748,444
3237,25017374000,26,0,19,533,87,1035,812,332,393
3617,25017374100,20,4,103,813,121,940,987,311,318
3067,25017374200,28,0,29,251,68,888,939,356,508
2495,25017374300,26,11,8,148,27,772,691,360,452
3903,25017374400,9,37,28,456,57,1142,1108,601,465
3182,25017374500,18,22,25,794,113,893,747,240,330
3606,25017374600,0,50,97,744,183,1027,971,230,304
3232,25017374700,76,11,77,700,127,955,719,260,307
2716,25017374800,14,11,45,423,94,613,825,227,464
3513,25017382100,0,2,66,955,233,1219,745,153,140
3757,25017382200,128,4,120,857,239,1057,1123,171,58
4282,25017382300,0,24,8,719,170,1509,1302,306,244
3734,25017382400,0,53,50,1176,179,989,893,203,191
