,RANK_10,RANK_19,SES_10,SES_19,SES_ASC,SES_PR_10,SES_PR_19,SES_PR_ASC
0,90.0,63.0,-1.151247670836227,0.9015700629220359,2.0528177337582627,43.31210191082803,60.509554140127385,17.19745222929936
1,37.0,48.0,0.14227503340363773,1.3698409469940886,1.2275659135904509,77.07006369426752,70.06369426751591,-7.006369426751604
2,57.0,65.0,-0.3552217536567285,0.881260260788131,1.2364820144448596,64.3312101910828,59.23566878980891,-5.095541401273891
3,31.0,41.0,0.29799194668024714,1.664633846049413,1.3666418993691658,80.89171974522293,74.52229299363057,-6.369426751592357
4,36.0,49.0,0.2154029590607026,1.3535761252707377,1.1381731662100352,77.70700636942675,69.42675159235668,-8.28025477707007
5,54.0,58.0,-0.2789761093754695,0.9889974634880699,1.2679735728635395,66.2420382165605,63.69426751592356,-2.5477707006369386
6,34.0,40.0,0.26704969698119996,1.6760042836804403,1.4089545866992403,78.98089171974523,75.15923566878982,-3.8216560509554114
7,32.0,59.0,0.2925630589447732,0.9694331876209512,0.676870128676178,80.2547770700637,63.05732484076433,-17.197452229299365
8,41.0,57.0,-0.03048953917031174,0.9894184497369061,1.0199079889072178,74.52229299363057,64.3312101910828,-10.191082802547768
9,48.0,69.0,-0.16946417814888806,0.7555507563568794,0.9250149345057674,70.06369426751591,56.68789808917197,-13.37579617834394
10,45.0,79.0,-0.0635382515956064,0.40957234453010344,0.4731105961257098,71.97452229299363,50.318471337579616,-21.65605095541401
11,98.0,,-1.2302042960794772,,,38.21656050955414,,
12,62.0,70.0,-0.5628198963873495,0.7401116367910555,1.302931533178405,61.146496815286625,56.05095541401274,-5.095541401273884
13,78.0,61.0,-0.84347733427249,0.9384535001603437,1.7819308344328337,50.955414012738856,61.78343949044586,10.828025477707001
14,71.0,71.0,-0.6884887105131763,0.7219428043763743,1.4104315148895505,55.4140127388535,55.4140127388535,0.0
15,85.0,87.0,-1.0566936444147115,0.06890320478778794,1.1255968492024995,46.496815286624205,45.22292993630573,-1.2738853503184728
16,40.0,30.0,0.032268862534876826,2.0430938497058087,2.0108249871709316,75.15923566878982,81.52866242038218,6.369426751592357
17,28.0,62.0,0.3798964078761963,0.9185676785076168,0.5386712706314205,82.80254777070064,61.146496815286625,-21.656050955414017
18,21.0,67.0,0.6817303009347068,0.799688283218643,0.11795798228393628,87.26114649681529,57.961783439490446,-29.29936305732484
19,95.0,85.0,-1.1887632880342138,0.1239958516196555,1.3127591396538694,40.12738853503185,46.496815286624205,6.369426751592357
20,60.0,,-0.5489047150655768,,,62.42038216560509,,
21,49.0,75.0,-0.18393006994127772,0.55923317183609,0.7431632417773677,69.42675159235668,52.86624203821656,-16.56050955414012
22,144.0,129.0,-1.9593102160993765,-0.9987345501118303,0.9605756659875462,8.9171974522293,18.471337579617835,9.554140127388536
23,24.0,36.0,0.5218427753808017,1.7774831749742226,1.2556403995934209,85.35031847133759,77.70700636942675,-7.643312101910837
24,,20.0,,2.6233622772452887,,,87.89808917197452,
25,,6.0,,4.18849662818278,,,96.81528662420382,
26,2.0,12.0,2.8343510122418034,3.569549849268877,0.7351988370270734,99.36305732484077,92.99363057324841,-6.369426751592357
27,3.0,3.0,2.626017919086408,4.678798227551064,2.052780308464656,98.72611464968153,98.72611464968153,0.0
28,,1.0,,5.128697507151125,,,100.0,
29,5.0,9.0,2.2949793642766765,4.031598089382578,1.736618725105901,97.45222929936305,94.90445859872611,-2.5477707006369457
30,4.0,4.0,2.442838592712402,4.495364186587764,2.0525255938753624,98.08917197452229,98.08917197452229,0.0
31,14.0,23.0,1.0933971889861251,2.4602007685712173,1.3668035795850921,91.71974522292994,85.98726114649682,-5.732484076433124
32,13.0,22.0,1.112463922748593,2.480939703433632,1.368475780685039,92.35668789808918,86.62420382165605,-5.732484076433124
33,9.0,10.0,1.6578120132409866,3.977952471205486,2.3201404579644995,94.90445859872611,94.26751592356688,-0.6369426751592329
34,11.0,17.0,1.4213586064382597,2.9091573541872737,1.487798747749014,93.63057324840764,89.80891719745223,-3.8216560509554114
35,50.0,42.0,-0.18670907116004143,1.6568479380902752,1.8435570092503166,68.78980891719745,73.88535031847134,5.095541401273891
36,55.0,55.0,-0.32171439059726625,1.1909658046932579,1.5126801952905242,65.60509554140127,65.60509554140127,0.0
37,6.0,5.0,2.2138976725321453,4.308637623411314,2.0947399508791684,96.81528662420382,97.45222929936305,0.6369426751592329
38,20.0,28.0,0.6866026854098061,2.0906043126618705,1.4040016272520646,87.89808917197452,82.80254777070064,-5.095541401273877
39,12.0,19.0,1.194335168229041,2.7457570181860103,1.5514218499569692,92.99363057324841,88.53503184713377,-4.458598726114644
40,7.0,,2.1582360679157953,,,96.17834394904459,,
41,51.0,53.0,-0.1909818648683014,1.3036538463241312,1.4946357111924327,68.15286624203821,66.87898089171973,-1.27388535031848
42,27.0,25.0,0.40237993220625173,2.3702452892386106,1.9678653570323588,83.43949044585987,84.71337579617835,1.27388535031848
43,53.0,27.0,-0.23760509933559706,2.219509990625602,2.457115089961199,66.87898089171973,83.43949044585987,16.56050955414014
44,35.0,18.0,0.2249967260208156,2.8404053709005113,2.615408644879696,78.343949044586,89.171974522293,10.828025477707001
45,88.0,80.0,-1.1043305315854206,0.33905023590394184,1.4433807674893624,44.5859872611465,49.681528662420384,5.095541401273884
46,137.0,131.0,-1.801803000783179,-1.0624919530214838,0.7393110477616951,13.375796178343949,17.197452229299362,3.821656050955413
47,139.0,116.0,-1.8269645363290896,-0.8053439826099202,1.0216205537191694,12.101910828025478,26.751592356687897,14.64968152866242
48,156.0,,-2.7076393638463996,,,1.2738853503184715,,
49,133.0,98.0,-1.7656041633524318,-0.21797665898484767,1.547627504367584,15.92356687898089,38.21656050955414,22.29299363057325
50,141.0,108.0,-1.8689702214232362,-0.5885965457725998,1.2803736756506363,10.828025477707007,31.84713375796178,21.019108280254777
51,151.0,103.0,-2.1777284050789816,-0.471153762213202,1.7065746428657795,4.45859872611465,35.03184713375796,30.573248407643305
52,121.0,102.0,-1.616718955382746,-0.45360607936533376,1.163112876017412,23.56687898089172,35.6687898089172,12.101910828025478
53,146.0,137.0,-1.965778693534201,-1.1675806287923471,0.7981980647418538,7.643312101910828,13.375796178343949,5.732484076433121
54,132.0,122.0,-1.7612041711053326,-0.8767748776407784,0.8844292934645541,16.560509554140125,22.929936305732486,6.369426751592361
55,103.0,106.0,-1.3734536297304687,-0.5220401477535943,0.8514134819768744,35.03184713375796,33.12101910828025,-1.9108280254777057
56,118.0,86.0,-1.5876247605588492,0.07614610240034823,1.6637708629591974,25.477707006369428,45.85987261146497,20.382165605095544
57,69.0,24.0,-0.651140250436251,2.3958868022300566,3.0470270526663077,56.68789808917197,85.35031847133759,28.662420382165614
58,42.0,29.0,-0.04380418617890423,2.046522347383191,2.090326533562095,73.88535031847134,82.16560509554141,8.28025477707007
59,52.0,26.0,-0.21096361008232578,2.238563558968284,2.4495271690506097,67.51592356687898,84.07643312101911,16.560509554140125
60,56.0,33.0,-0.3400770178947706,1.8687953516417775,2.208872369536548,64.96815286624204,79.61783439490446,14.649681528662427
61,43.0,39.0,-0.04396550070570342,1.679782198750551,1.7237476994562544,73.24840764331209,75.79617834394905,2.54777070063696
62,,13.0,,3.473858698211379,,,92.35668789808918,
63,66.0,38.0,-0.6115215032830726,1.7164873805977672,2.3280088838808397,58.59872611464968,76.43312101910828,17.834394904458605
64,142.0,107.0,-1.884573264963797,-0.5696395600919857,1.3149337048718113,10.191082802547772,32.48407643312102,22.292993630573246
65,47.0,16.0,-0.14476041350216617,3.0636080755390647,3.2083684890412307,70.70063694267516,90.44585987261146,19.745222929936304
66,16.0,14.0,0.9622630041085696,3.389339539236304,2.4270765351277346,90.44585987261146,91.71974522292994,1.27388535031848
67,128.0,94.0,-1.696608704981955,-0.1625675319705008,1.534041173011454,19.10828025477707,40.76433121019109,21.656050955414017
68,8.0,15.0,1.7603328338206672,3.276680923987258,1.516348090166591,95.54140127388536,91.0828025477707,-4.4585987261146585
69,,51.0,,1.3163879939480294,,,68.15286624203821,
70,17.0,34.0,0.7841732695859437,1.834826160097116,1.0506528905111723,89.80891719745223,78.98089171974523,-10.828025477707001
71,10.0,2.0,1.5160650705942011,4.773907798370438,3.2578427277762367,94.26751592356688,99.36305732484077,5.095541401273891
72,19.0,11.0,0.687541579921903,3.7188589593733323,3.0313173794514294,88.53503184713377,93.63057324840764,5.095541401273877
73,38.0,21.0,0.127566270698948,2.5601801419565122,2.4326138712575642,76.43312101910828,87.26114649681529,10.828025477707001
74,68.0,47.0,-0.6350479256067011,1.3949700388438566,2.0300179644505576,57.324840764331206,70.70063694267516,13.375796178343954
75,61.0,46.0,-0.5613512132153986,1.4287890282228295,1.990140241438228,61.78343949044586,71.3375796178344,9.554140127388536
76,73.0,83.0,-0.7199820458055588,0.2706653690475119,0.9906474148530706,54.14012738853503,47.77070063694268,-6.36942675159235
77,124.0,134.0,-1.6383061721460699,-1.1269401318557413,0.5113660402903286,21.656050955414013,15.286624203821656,-6.369426751592357
78,149.0,156.0,-2.0829390624871507,-1.7319141586519375,0.3510249038352131,5.7324840764331215,1.2738853503184715,-4.45859872611465
79,155.0,142.0,-2.55741612081531,-1.2756805823037187,1.2817355385115914,1.910828025477707,10.191082802547772,8.280254777070065
80,157.0,151.0,-2.9024675105453244,-1.5618634851581659,1.3406040253871585,0.6369426751592357,4.45859872611465,3.821656050955414
81,153.0,157.0,-2.29010990284083,-1.8359983936838047,0.45411150915702514,3.1847133757961785,0.6369426751592357,-2.547770700636943
82,79.0,,-0.8726728370368075,,,50.318471337579616,,
83,26.0,56.0,0.40488852186984986,1.0618525278288178,0.6569640059589679,84.07643312101911,64.96815286624204,-19.10828025477707
84,115.0,,-1.5543536613320181,,,27.388535031847134,,
85,84.0,76.0,-0.9416636904364993,0.551802604685392,1.4934662951218913,47.13375796178344,52.22929936305732,5.095541401273884
86,135.0,125.0,-1.7939299603784074,-0.8946042984597052,0.8993256619187021,14.64968152866242,21.019108280254777,6.369426751592357
87,152.0,150.0,-2.2096969115482428,-1.5558195981628953,0.6538773133853475,3.821656050955414,5.095541401273886,1.273885350318472
88,58.0,93.0,-0.38867422285395714,-0.11591519040749763,0.2727590324464595,63.69426751592356,41.40127388535032,-22.292993630573243
89,116.0,141.0,-1.5674702136074519,-1.2612142764668282,0.3062559371406237,26.751592356687897,10.828025477707007,-15.92356687898089
90,130.0,144.0,-1.7505894636445267,-1.3597675414671877,0.390821922177339,17.8343949044586,8.9171974522293,-8.9171974522293
91,122.0,147.0,-1.6178706734383588,-1.5376676594445096,0.08020301399384921,22.929936305732486,7.006369426751593,-15.923566878980893
92,119.0,127.0,-1.6028383803383197,-0.9579459294506447,0.644892450887675,24.840764331210192,19.745222929936308,-5.095541401273884
93,97.0,117.0,-1.2126828946847366,-0.8068970516261182,0.4057858430586183,38.853503184713375,26.11464968152866,-12.738853503184714
94,131.0,143.0,-1.7510398213474385,-1.307255514222548,0.4437843071248906,17.197452229299362,9.554140127388536,-7.643312101910826
95,129.0,149.0,-1.746206662143037,-1.5481474043436267,0.19805925779941025,18.471337579617835,5.7324840764331215,-12.738853503184714
96,148.0,152.0,-2.0686313308922406,-1.5762626044133574,0.4923687264788832,6.369426751592357,3.821656050955414,-2.547770700636943
97,125.0,145.0,-1.6517633971886811,-1.4794547351542169,0.17230866203446427,21.019108280254777,8.280254777070063,-12.738853503184714
98,147.0,153.0,-2.052324528730034,-1.632624342455953,0.419700186274081,7.006369426751593,3.1847133757961785,-3.821656050955414
99,105.0,139.0,-1.41756283351142,-1.2210078191217868,0.1965550143896333,33.75796178343949,12.101910828025478,-21.656050955414013
100,99.0,84.0,-1.2381547443983216,0.17608538962770484,1.4142401340260264,37.57961783439491,47.13375796178344,9.554140127388528
101,67.0,66.0,-0.6151595265006816,0.852955631404954,1.4681151579056357,57.961783439490446,58.59872611464968,0.6369426751592329
102,82.0,81.0,-0.9172839498008608,0.3279660197202298,1.2452499695210906,48.40764331210191,49.044585987261144,0.6369426751592329
103,108.0,95.0,-1.4391900441398726,-0.18773414466765648,1.2514558994722162,31.84713375796178,40.12738853503185,8.280254777070066
104,107.0,138.0,-1.425973253387015,-1.1934282157663854,0.23254503762062972,32.48407643312102,12.738853503184714,-19.745222929936304
105,145.0,148.0,-1.9640355574069879,-1.5429909319396165,0.4210446254673714,8.280254777070063,6.369426751592357,-1.9108280254777057
106,113.0,109.0,-1.5254366276222078,-0.5974273282316744,0.9280092993905333,28.662420382165603,31.210191082802545,2.547770700636942
107,123.0,132.0,-1.6348530310417575,-1.0661050042152305,0.568748026826527,22.29299363057325,16.560509554140125,-5.732484076433124
108,120.0,124.0,-1.6054469248044034,-0.8822488412535457,0.7231980835508577,24.203821656050955,21.656050955414013,-2.547770700636942
109,136.0,146.0,-1.7971878956235072,-1.5285532861901172,0.26863460943339,14.012738853503185,7.643312101910828,-6.369426751592357
110,127.0,133.0,-1.6867613561240498,-1.1199105080124265,0.5668508481116232,19.745222929936308,15.92356687898089,-3.8216560509554167
111,111.0,123.0,-1.4889259984044356,-0.8797962599676209,0.6091297384368147,29.936305732484076,22.29299363057325,-7.643312101910826
112,109.0,112.0,-1.469325796953244,-0.6243305720145589,0.8449952249386852,31.210191082802545,29.29936305732484,-1.9108280254777057
113,72.0,88.0,-0.7010394336829479,0.04968794484079625,0.750727378523744,54.77707006369427,44.5859872611465,-10.191082802547768
114,112.0,119.0,-1.4943037825543073,-0.8594305073973552,0.6348732751569521,29.29936305732484,24.840764331210192,-4.458598726114648
115,143.0,154.0,-1.949436547931085,-1.6505447658422516,0.29889178208883327,9.554140127388536,2.547770700636943,-7.006369426751593
116,154.0,155.0,-2.304035141112569,-1.7130650924503648,0.5909700486622043,2.547770700636943,1.910828025477707,-0.636942675159236
117,134.0,135.0,-1.7933154856044184,-1.1292432413959266,0.6640722442084919,15.286624203821656,14.64968152866242,-0.6369426751592364
118,140.0,120.0,-1.8617013089568126,-0.8651240111169383,0.9965772978398744,11.464968152866243,24.203821656050955,12.738853503184712
119,106.0,118.0,-1.4191153168451074,-0.8439973873914812,0.5751179294536262,33.12101910828025,25.477707006369428,-7.643312101910823
120,89.0,105.0,-1.1178555280346392,-0.5133745889423171,0.604480939092322,43.94904458598726,33.75796178343949,-10.191082802547768
121,110.0,96.0,-1.4886333798579434,-0.18854587744959767,1.3000875024083458,30.573248407643312,39.490445859872615,8.917197452229303
122,102.0,82.0,-1.3288298550158952,0.2940311531477149,1.6228610081636101,35.6687898089172,48.40764331210191,12.738853503184714
123,75.0,90.0,-0.771023721166379,-0.007156044415481658,0.7638676767508973,52.86624203821656,43.31210191082803,-9.554140127388536
124,80.0,78.0,-0.8858338279550917,0.45396879823619146,1.3398026261912832,49.681528662420384,50.955414012738856,1.2738853503184728
125,96.0,89.0,-1.20800364105536,-0.0005608417952454491,1.2074427992601147,39.490445859872615,43.94904458598726,4.458598726114644
126,100.0,126.0,-1.2391461387432188,-0.9323475102641149,0.3067986284791039,36.94267515923567,20.382165605095544,-16.560509554140125
127,138.0,136.0,-1.8210920250172082,-1.1434014108021666,0.6776906142150416,12.738853503184714,14.012738853503185,1.273885350318471
128,101.0,111.0,-1.2438810558891609,-0.6202997620953472,0.6235812937938137,36.30573248407643,29.936305732484076,-6.3694267515923535
129,114.0,128.0,-1.5513266982407306,-0.9744528611153553,0.5768738371253752,28.02547770700637,19.10828025477707,-8.9171974522293
130,77.0,74.0,-0.8319468321355898,0.5965689035835245,1.4285157357191145,51.59235668789809,53.503184713375795,1.9108280254777057
131,126.0,140.0,-1.6546106328188719,-1.2499094015660295,0.4047012312528424,20.382165605095544,11.464968152866243,-8.917197452229301
132,70.0,99.0,-0.6866177910553128,-0.23513258433755171,0.45148520671776116,56.05095541401274,37.57961783439491,-18.47133757961783
133,87.0,100.0,-1.0795367206197932,-0.24081757544809987,0.8387191451716933,45.22292993630573,36.94267515923567,-8.280254777070063
134,86.0,72.0,-1.0628476464577068,0.7193686230371045,1.7822162694948114,45.85987261146497,54.77707006369427,8.917197452229296
135,39.0,73.0,0.08554931271168971,0.6068565051949375,0.5213071924832477,75.79617834394905,54.14012738853503,-21.656050955414024
136,81.0,77.0,-0.9005962038117733,0.5085811724260886,1.4091773762378619,49.044585987261144,51.59235668789809,2.5477707006369457
137,18.0,50.0,0.7072326886693469,1.3373414419530278,0.630108753283681,89.171974522293,68.78980891719745,-20.38216560509555
138,33.0,52.0,0.277457125281877,1.3140450240840862,1.0365878988022093,79.61783439490446,67.51592356687898,-12.101910828025481
139,1.0,8.0,3.222047198843229,4.049642575723521,0.8275953768802919,100.0,95.54140127388536,-4.458598726114644
140,44.0,37.0,-0.047506377009404986,1.745487107088774,1.7929934840981792,72.61146496815286,77.07006369426752,4.4585987261146585
141,,7.0,,4.091402549399379,,,96.17834394904459,
142,59.0,60.0,-0.5017272652439053,0.9391262258520505,1.4408534910959558,63.05732484076433,62.42038216560509,-0.63694267515924
143,64.0,64.0,-0.5773178103363615,0.8851804036845984,1.46249821402096,59.87261146496815,59.87261146496815,0.0
144,15.0,32.0,1.0358121534138878,1.9123400779116686,0.8765279244977808,91.0828025477707,80.2547770700637,-10.828025477707001
145,74.0,68.0,-0.739199856111667,0.7729296614821938,1.512129517593861,53.503184713375795,57.324840764331206,3.8216560509554114
146,25.0,35.0,0.5102429775692789,1.8160753004450583,1.3058323228757793,84.71337579617835,78.343949044586,-6.369426751592357
147,29.0,44.0,0.32252489890636815,1.6091732918227477,1.2866483929163794,82.16560509554141,72.61146496815286,-9.55414012738855
148,46.0,54.0,-0.06427972562113474,1.2148568016590828,1.2791365272802175,71.3375796178344,66.2420382165605,-5.095541401273891
149,30.0,45.0,0.30728975698183403,1.454127270016356,1.146837513034522,81.52866242038218,71.97452229299363,-9.55414012738855
150,23.0,43.0,0.5759880570317218,1.6316044370479035,1.0556163800161817,85.98726114649682,73.24840764331209,-12.738853503184728
151,65.0,,-0.5847876515655044,,,59.23566878980891,,
152,63.0,92.0,-0.5686033968772388,-0.10906519945111874,0.45953819742612007,60.509554140127385,42.038216560509554,-18.47133757961783
153,94.0,115.0,-1.1865926719636863,-0.7172031361844636,0.4693895357792227,40.76433121019109,27.388535031847134,-13.375796178343954
154,91.0,101.0,-1.1550820918182891,-0.34314818243685624,0.8119339093814328,42.675159235668794,36.30573248407643,-6.369426751592364
155,76.0,91.0,-0.8025481084527674,-0.10569040368315713,0.6968577047696103,52.22929936305732,42.675159235668794,-9.554140127388528
156,150.0,130.0,-2.0910992901392085,-1.018091123127181,1.0730081670120275,5.095541401273886,17.8343949044586,12.738853503184712
157,117.0,110.0,-1.5767209070997645,-0.6194321633802253,0.9572887437195392,26.11464968152866,30.573248407643312,4.458598726114651
158,92.0,104.0,-1.176621297388182,-0.5070093966264904,0.6696119007616916,42.038216560509554,34.394904458598724,-7.64331210191083
159,83.0,113.0,-0.9226113219523221,-0.6829087775968843,0.2397025443554378,47.77070063694268,28.662420382165603,-19.108280254777075
160,104.0,114.0,-1.378586839358739,-0.7122026788716267,0.6663841604871124,34.394904458598724,28.02547770700637,-6.3694267515923535
161,93.0,121.0,-1.1810613342433565,-0.8664813994981266,0.31457993474522983,41.40127388535032,23.56687898089172,-17.834394904458602
162,,97.0,,-0.20711817036888722,,,38.853503184713375,
163,22.0,31.0,0.580583722349586,1.9264884105056224,1.3459046881560364,86.62420382165605,80.89171974522293,-5.732484076433124
