,2010 Count,2010 Mean,2010 StD,2010 Min,2010 LQ,2010 Median,2010 UQ,2010 Max,2019 Count,2019 Mean,2019 StD,2019 Min,2019 LQ,2019 Median,2019 UQ,2019 Max
House Prices,858.0,413362.70396270393,136296.19397851915,128800.0,329050.0,375900.0,466275.0,963300.0,848.0,504604.83490566036,220473.67503072726,147700.0,358825.0,448600.0,590075.0,1766100.0
Percentage with Bachelor Degree or Higher,858.0,18.743913692970008,13.661433234118826,0.0,8.15775721167098,15.046704048543294,25.977622138376518,76.66666666666667,848.0,22.825103333353656,15.269394430494494,0.0,10.770170157996613,19.821091631860476,33.498522763624074,68.88697894284486
Percentage Professional Workers,858.0,44.93739665482843,16.746813056432412,4.102564102564102,33.296636085626915,44.23565923606831,57.165600082606744,85.34899792674499,848.0,49.72832217727316,17.775925800839115,7.007007007007007,37.035736579275905,49.59167227652165,63.286897975785195,88.26241134751773
Household Income,858.0,72344.81118881119,28758.084103944355,14188.0,52752.5,70557.0,87891.0,204156.0,848.0,94415.81485849057,37877.625813598825,14464.0,66726.0,91798.5,116136.25,236354.0
Contract Rent,858.0,1028.0,303.6614217235602,231.0,842.25,997.5,1204.25,1957.0,848.0,1405.8408018867924,453.774928097444,287.0,1087.75,1350.5,1688.25,3028.0
white,882.0,0.7665076791207557,0.22932679207731568,0.0,0.6719879726709697,0.8499264998946845,0.9350779719222755,1.0,882.0,0.7330452198283683,0.21661488232555748,0.0183741648106904,0.622940809102067,0.7928804490200533,0.8984391853195808,0.9936777178103317
black,882.0,0.08718163625835681,0.15833896924027724,0.0,0.00711214441240225,0.027644522928781848,0.08201325651237205,0.941992783791285,882.0,0.09632810760529965,0.15804831473934933,0.0,0.01359828545246585,0.03678844369299905,0.09371035006728252,0.8887595610242767
nativeam,882.0,0.001828444112112787,0.004945530382768095,0.0,0.0,0.0,0.001524236480806925,0.0801114594218042,882.0,0.002064687989082173,0.00579557333941263,0.0,0.0,0.0,0.00171719954578785,0.0764411027568922
asian,882.0,0.06748991326028514,0.07919990303039835,0.0,0.01415501758215245,0.041362686114403,0.09494550326627174,0.6628090478695423,882.0,0.08473627353821399,0.08959022866620496,0.0,0.01965359687695585,0.05486766916951695,0.12215161930511648,0.5916724982505248
pacislander,882.0,0.00043038897891420623,0.0031355104019353155,0.0,0.0,0.0,0.0,0.066876475216365,882.0,0.0004705734602403153,0.0030953574715920414,0.0,0.0,0.0,0.0,0.0677966101694915
other,882.0,0.07656193826957397,0.11578693939972934,0.0,0.015387650406416325,0.03516764162827215,0.08574346234825518,0.8701863354037267,882.0,0.08335513757879559,0.09734024170566252,0.0,0.025348415755795703,0.050704460870784604,0.09405791649289957,0.603310197544047
children,882.0,0.21446753167586988,0.07063451242552568,0.0096153846153846,0.17733066522394542,0.2231382771032162,0.2623683280316331,0.3859711589816628,882.0,0.19625592213347567,0.06364600451036438,0.0,0.16178687794709895,0.20404209726476474,0.24053839185016723,0.3626580575733118
youngAdult,882.0,0.10364732057929293,0.09673695129806703,0.0201068974293713,0.05758625651139512,0.0779015776610412,0.11381913210061628,0.9185733512786004,882.0,0.100365274028476,0.09319425870202648,0.0114660114660114,0.06081453308832952,0.07883485843029164,0.10359324554132975,0.908411214953271
adult,882.0,0.5533970736394159,0.07787884081344365,0.0561911170928667,0.5210055719376956,0.5533144462181134,0.5910222517564008,0.9176954732510288,882.0,0.5519430433724498,0.08154304993004925,0.060436137071651,0.5120981057893652,0.5476377489835307,0.5888007772763364,0.8426150121065376
elderly,882.0,0.12848807410542207,0.05034729726999007,0.0,0.09234619695742735,0.1233901898646771,0.15793625391452656,0.3855509608367793,882.0,0.1514357604655983,0.05607559361410842,0.003526858383071,0.11329381046983741,0.1492292454210997,0.18554696523812303,0.4082682753726047
ownerOcc,882.0,0.6062080755871777,0.24703887524952478,0.0,0.41564795299227175,0.6451251857509073,0.820408821909848,1.0,882.0,0.5901825254495674,0.2466013266051573,0.0,0.39180776168033976,0.6199839287659528,0.8020659603554341,0.994078460399704
renterOcc,882.0,0.39379192441282274,0.24703887524952473,0.0,0.17959117809015204,0.3548748142490926,0.5843520470077281,1.0,882.0,0.40981747455043327,0.24660132660515732,0.005921539600296,0.1979340396445659,0.38001607123404724,0.6081922383196602,1.0
citizenUS,882.0,0.7964193871048384,0.14069295320269334,0.304302203567681,0.7044264796270086,0.8297364697797222,0.9119493750158716,0.9930413426115432,882.0,0.7677631076060448,0.14487721526429345,0.2624317332566829,0.6673584425167793,0.7893679429646441,0.8890920815233514,0.9805073431241657
citizenPR,882.0,0.01291653863697308,0.025771101795058874,0.0,0.0,0.0024856483486480003,0.01295492912233515,0.2060788243152972,882.0,0.012573683370648469,0.022717148257943475,0.0,0.0,0.003159301562266,0.014028038286795426,0.1618281115263006
citizenAbroad,882.0,0.008364134796273532,0.007803396904086303,0.0,0.0028561326635301748,0.0065416534095445004,0.011700703876276326,0.0511736096426305,882.0,0.012148718288729833,0.010415507008559616,0.0,0.0046974508271893,0.0097792192140615,0.016802667911142627,0.071388733965421
citizenNaturalized,882.0,0.08582549706134321,0.053952468985933394,0.0020466639377814,0.04265860951289328,0.07554705533855745,0.11927486982101468,0.3598106259863229,882.0,0.10736115354838877,0.06325530715093322,0.0057703404500865,0.054318147181585175,0.09808393147379785,0.14815099901491408,0.3085024004955862
notCitizen,882.0,0.0964744424005721,0.09060250618515493,0.0,0.027157857905391627,0.06921192278403455,0.14409675077123194,0.6232948583420777,882.0,0.10015333718618764,0.08636616864240784,0.0,0.034516671562037526,0.0761182119568195,0.1452140504808267,0.5170322810772249
single,882.0,0.36892300044169596,0.14618378984634645,0.1324731182795699,0.25290429387074065,0.33344494767462834,0.46550024460710554,0.9803014731072284,882.0,0.38618462365251777,0.1424641205628564,0.1467404378157325,0.2732082694679775,0.3509733069162216,0.4834725299224246,0.9610705596107056
married,882.0,0.44197033793788826,0.15500211320504817,0.0,0.32497350746099435,0.4599214082667656,0.561054693857497,0.7329032258064516,882.0,0.43097462082841054,0.14612233359327628,0.0134755755193711,0.32611556044584944,0.44329281781231733,0.5467347504424024,0.7492260061919505
separated,882.0,0.02012068422586006,0.018955049265801733,0.0,0.00658927333929035,0.014509652597292,0.0275282236040236,0.1260917030567685,882.0,0.01696357618036533,0.01591863678622996,0.0,0.0059453602233445,0.0122892181911088,0.022729214443095426,0.1124515295131408
marriedOther,882.0,0.025532905447602432,0.021689652674403346,0.0,0.009552566652400476,0.01968741365110615,0.03534466748692902,0.1497443389335281,882.0,0.028057640919969713,0.019681678671611004,0.0,0.013977984743451476,0.0228997819922663,0.036829273376550925,0.1194272697689554
widowed,882.0,0.05811553363207646,0.028722927339820514,0.0,0.0380112197445956,0.05539375322011485,0.07171417436261737,0.2241813602015113,882.0,0.05104927326299852,0.0250130832345485,0.0,0.03388787667842705,0.04848380289789755,0.06452492762309722,0.1870760442699036
divorced,882.0,0.08533753831487663,0.0335040450729895,0.0027406646111682,0.061910588084225476,0.08205407095991554,0.10736387161791887,0.2535211267605634,882.0,0.08677026515573764,0.033645281276256815,0.0024330900243309,0.06351847898359336,0.0846967684613319,0.10650484151462007,0.2436440677966101
bus,882.0,0.04835835870758597,0.07123839713381579,0.0,0.0022326563024237,0.0172353259822456,0.06646983373360267,0.4512578616352201,882.0,0.04922983070639387,0.07289179843289442,0.0,0.00356035574909115,0.0193710213491681,0.06304532879336022,0.4647147147147147
train,882.0,0.019841689597441085,0.02534381874429808,0.0,0.0,0.01157503298265755,0.02748810103194285,0.1736381322957198,882.0,0.002870738235704313,0.010734142454810223,0.0,0.0,0.0,0.0,0.1590013140604468
ferry,882.0,0.0010278669649735157,0.007342488049255738,0.0,0.0,0.0,0.0,0.1017710811525244,882.0,0.0013427026818017358,0.010392417677858024,0.0,0.0,0.0,0.0,0.1484210526315789
taxi,882.0,0.0022543402678863234,0.00802275404849152,0.0,0.0,0.0,0.0,0.1027554535017221,882.0,0.0034310160448553268,0.007101661635157159,0.0,0.0,0.0,0.004779623151917025,0.0613107822410148
bicycle,882.0,0.00880424360783075,0.020085409738103795,0.0,0.0,0.0,0.0077294864616457,0.1720698254364089,882.0,0.012334154167903013,0.024543009772983376,0.0,0.0,0.0,0.012545405901870824,0.1704199634814364
walked,882.0,0.05995801724719713,0.10293208217644823,0.0,0.009545972575826376,0.0226271391669357,0.05677461771623645,0.6299575070821529,882.0,0.06252399648203875,0.10591383171175442,0.0,0.0090676043444773,0.02283969276949885,0.06098238796736645,0.6773094934014474
otherTravel,882.0,0.006650335818362551,0.011010741320783406,0.0,0.0,0.00277856410376375,0.0084582530076966,0.0766515380736258,882.0,0.010709420452358731,0.016019265898388865,0.0,0.0,0.0058604577492674,0.014548045168850499,0.1539990064580228
homeworker,882.0,0.03975564197624353,0.03125125255357463,0.0,0.0145444660523215,0.0342874858232486,0.05601910682784932,0.1603107344632768,882.0,0.050587904332171585,0.033486780304554965,0.0,0.02488506033821295,0.0455300886724379,0.07062928196895632,0.1986644407345576
privateVehicle,882.0,0.658974950365288,0.2048247634522516,0.0,0.5328571207526149,0.7294182385487546,0.8131374176868502,0.939297124600639,882.0,0.6345622986456531,0.20240324726696954,0.0636758321273516,0.5024815839332847,0.6920209959538799,0.7975200020768338,0.9592298980747452
carpool,882.0,0.0826027742508487,0.05352683437329905,0.0,0.048483291050651724,0.0727995194684873,0.10275714833469202,0.5120689655172413,882.0,0.07282330418818828,0.04109866129804721,0.0,0.044225083472512326,0.0662298935070871,0.09362865852297428,0.3444055944055944
subwayTram,882.0,0.07177178119634262,0.10649454221409209,0.0,0.003682134637364225,0.0199494895408549,0.1039407822144197,1.0,882.0,0.0995846340629301,0.10045910249060039,0.0,0.02829498972773875,0.066370661614747,0.1386875576630984,0.7110826393337604
1990_1999,882.0,0.06561515605092107,0.07508009785874493,0.0,0.016751478922531524,0.0420867813159237,0.09242530450675752,1.0,882.0,0.06616243586969973,0.06009803168356756,0.0,0.022528574717772074,0.04976016351488255,0.0896872522463002,0.3793869391381608
1980_1989,882.0,0.0912830924412544,0.07730319724102423,0.0,0.0332862821997391,0.07349078720958625,0.1277607452345063,0.5456540825285338,882.0,0.08954635345814566,0.07129344573185206,0.0,0.03907746808324222,0.07312110239931215,0.11758312020460354,0.5313653136531366
1970_1979,882.0,0.10225908290960292,0.08002028679303601,0.0,0.0425049694127273,0.087010400048982,0.1378765180461893,0.5569620253164557,882.0,0.10229066814714234,0.0737114608480223,0.0,0.049347750463821824,0.08800391733312754,0.13632785977625625,0.5257065032345931
1960_1969,882.0,0.10406228539821956,0.07906282251980094,0.0,0.0468412400614006,0.08879562744471285,0.142760470851154,0.5229050279329609,882.0,0.10152039761142348,0.07082634025416831,0.0,0.05100691534336592,0.0881025652940978,0.1340089058524173,0.4590248962655601
1950_1959,882.0,0.10963613007176382,0.07648885668529111,0.0,0.04808501566981535,0.09512127467657236,0.1577555612256732,0.3648648648648648,882.0,0.10754050827442767,0.07451970507578598,0.0,0.05313988352203472,0.08983372903849875,0.14463085764809902,0.4342105263157895
1940_1949,882.0,0.05989936163268938,0.04447345650046237,0.0,0.02836871498716615,0.0519866971363617,0.07926046578560544,0.3278688524590163,882.0,0.05583980254793843,0.03927130116837279,0.0,0.0267050362801186,0.0489180630690064,0.0752955909963402,0.2309644670050761
pre_1939,882.0,0.40764016598414227,0.24198449713104594,0.0,0.18878014716076258,0.38964421261241045,0.6189774105518496,0.9227118644067795,882.0,0.3745386405140295,0.22818520324605476,0.0,0.16630083146379032,0.3570920049757571,0.5691798785980571,0.8804878048780488
2000_later,882.0,0.05960472551140658,0.06571866091434471,0.0,0.015172835115414575,0.040703437637792605,0.08535755313642726,0.4758155230596175,882.0,0.10256119357719297,0.09801126196184186,0.0,0.035459239304020604,0.07485339149024295,0.13678811110075406,0.896551724137931
detatched_1,882.0,0.4535038160521973,0.30982566501190884,0.0,0.1446427081406021,0.45424187207459343,0.7388576579456848,0.9871043376318874,882.0,0.4452197641119293,0.30373163766311956,0.0,0.1350706765288953,0.45429316888045534,0.7185240102915648,0.9907718120805368
attached_1,882.0,0.05379709262072147,0.04969525869183275,0.0,0.020318670735475476,0.03916523657457445,0.07449426485538195,0.3140218303946264,882.0,0.06060293199954617,0.05407226994960652,0.0,0.025581363069875553,0.050337012206544005,0.08087691244694495,0.5862068965517241
2_unit,882.0,0.12345716905467459,0.11806864258772257,0.0,0.028881251439285275,0.08580338081850325,0.18937470291577296,0.6468401486988847,882.0,0.11539372798796668,0.1114069095895898,0.0,0.027849059337608922,0.08116014727982546,0.17629880044629637,0.6551401869158878
3to4_unit,882.0,0.12694754301715466,0.13981795159171603,0.0,0.025265576562406498,0.07363745951657366,0.1896915952906994,0.7903822441430333,882.0,0.1252610757872059,0.1384612907951065,0.0,0.0232452933826914,0.06910385365695926,0.18229930351906154,0.8
5to9_unit,882.0,0.06563340510656768,0.07977632897685302,0.0,0.014646729995496599,0.0406333509216864,0.09147894380794921,1.0,882.0,0.060777522592617615,0.06837417272385121,0.0,0.0149774415476348,0.0401162812393878,0.0813899468430577,0.4604938271604938
10to19_unit,882.0,0.04941431188213988,0.060165392046868806,0.0,0.006632492120533025,0.03251199276268015,0.06635873505414455,0.4877177311299687,882.0,0.05042560798463546,0.05902784061828583,0.0,0.008918782141336574,0.0331138327321533,0.06978641995359681,0.4117385504668742
20to49_unit,882.0,0.050055041008626795,0.06652282515030826,0.0,0.00759330248655005,0.027615997871123947,0.06864306825274438,0.679474216380182,882.0,0.05466161574854881,0.0666800998586416,0.0,0.007291010475723775,0.0343481460380762,0.07753125715117845,0.6965669988925803
50plus_unit,882.0,0.07188003633254696,0.12426877143614748,0.0,0.0,0.02164113572055805,0.08682162406949527,0.953880764904387,882.0,0.08185130543510866,0.1341157950456803,0.0,0.00378303322542345,0.027221812707438703,0.10127076679067658,0.955995599559956
mobile,882.0,0.005311584925370004,0.023083032100364578,0.0,0.0,0.0,0.0,0.3893473368342086,882.0,0.005806448352441072,0.022759900648938635,0.0,0.0,0.0,0.0,0.3443169196593854
hoursWk,882.0,38.31315192743765,2.8053798320126777,0.0,37.2,38.4,39.575,51.9,882.0,38.43934240362807,2.537291632682023,24.1,37.3,38.5,39.6,49.7
